pt,model_run,fcst_time,fcst_dt,sfc_air_temperature,sfc_dewpoint,v_wind_10m,u_wind_10m,sfc_pressure,sea_level_pressure,cloud_cover
KBOS,2021-06-06 00:00:00 UTC,2021-06-19 09:00:00 UTC,321.0,21.649999618530273,11.710000038146973,0.30000001192092896,1.1599999666213987,1014.719970703125,917.239990234375,18.299999237060547
KBOS,2021-06-06 00:00:00 UTC,2021-06-20 21:00:00 UTC,357.0,22.8799991607666,7.679999828338622,0.5600000023841858,0.41999998688697815,1019.0499877929688,921.1300048828124,0.0
KBOS,2021-06-06 00:00:00 UTC,2021-06-14 00:00:00 UTC,192.0,20.319999694824215,12.350000381469727,-0.699999988079071,-0.8600000143051147,1017.2000122070312,919.0,72.0999984741211
KBOS,2021-06-06 00:00:00 UTC,2021-06-06 08:00:00 UTC,8.0,15.300000190734865,11.960000038146973,0.029999999329447743,-0.479999989271164,1020.0800170898438,920.9000244140624,100.0
KBOS,2021-06-06 00:00:00 UTC,2021-06-07 05:00:00 UTC,29.0,13.649999618530273,5.949999809265137,-1.4299999475479126,0.7300000190734862,1020.969970703125,920.9199829101561,56.29999923706055
KBOS,2021-06-06 00:00:00 UTC,2021-06-08 08:00:00 UTC,56.0,18.049999237060547,7.150000095367432,1.5299999713897705,0.5899999737739563,1021.0399780273438,922.2899780273436,7.099999904632568
KBOS,2021-06-06 00:00:00 UTC,2021-06-10 00:00:00 UTC,96.0,16.889999389648438,11.149999618530273,-2.4600000381469727,-0.4699999988079071,1020.0599975585938,920.8400268554688,19.0
KBOS,2021-06-06 00:00:00 UTC,2021-06-13 09:00:00 UTC,177.0,21.489999771118164,11.840000152587892,1.2000000476837158,0.4900000095367432,1016.6900024414062,919.0599975585936,5.800000190734863
KBOS,2021-06-06 00:00:00 UTC,2021-06-20 18:00:00 UTC,354.0,25.46999931335449,8.449999809265137,2.990000009536743,0.740000009536743,1016.5599975585938,919.6099853515624,0.0
KBOS,2021-06-06 00:00:00 UTC,2021-06-21 09:00:00 UTC,369.0,22.78000068664551,10.350000381469727,0.8199999928474426,-1.25,1018.510009765625,921.010009765625,0.0
KBOS,2021-06-06 00:00:00 UTC,2021-06-16 09:00:00 UTC,249.0,23.319999694824215,4.849999904632568,0.7900000214576722,-1.2100000381469729,1010.4099731445312,913.4299926757811,1.899999976158142
KBOS,2021-06-06 00:00:00 UTC,2021-06-07 20:00:00 UTC,44.0,19.75,7.730000019073486,-1.8799999952316284,-0.5799999833106994,1019.4500122070312,920.780029296875,100.0
KBOS,2021-06-06 00:00:00 UTC,2021-06-08 05:00:00 UTC,53.0,15.149999618530273,3.049999952316284,-1.7200000286102295,0.6499999761581421,1021.7999877929688,921.8400268554688,100.0
KBOS,2021-06-06 00:00:00 UTC,2021-06-08 10:00:00 UTC,58.0,21.25,6.349999904632568,1.5199999809265137,0.6200000047683716,1019.9199829101562,921.9400024414062,6.800000190734863
KBOS,2021-06-06 00:00:00 UTC,2021-06-09 07:00:00 UTC,79.0,18.65999984741211,6.75,-0.31000000238418574,0.2800000011920929,1019.6799926757812,921.1400146484376,100.0
KBOS,2021-06-06 00:00:00 UTC,2021-06-09 13:00:00 UTC,85.0,25.440000534057614,8.260000228881836,3.940000057220459,1.9299999475479128,1016.4199829101562,919.5499877929688,38.0
