pt,model_run,fcst_time,fcst_dt,sfc_air_temperature,sfc_dewpoint,v_wind_10m,u_wind_10m,sfc_pressure,sea_level_pressure,cloud_cover
KBOS,2021-06-11 00:00:00 UTC,2021-06-12 20:00:00 UTC,44.0,14.729999542236328,12.3100004196167,0.66,-3.01,1010.510009765625,1010.2999877929688,100.0
KBOS,2021-06-11 00:00:00 UTC,2021-06-12 11:00:00 UTC,35.0,14.75,12.670000076293945,-0.23,-1.22,1012.1699829101562,1011.8499755859376,100.0
KBOS,2021-06-01 00:00:00 UTC,2021-06-01 06:00:00 UTC,6.0,10.81999969482422,9.569999694824217,0.71,2.29,1022.3699951171876,1022.1300048828124,33.439998626708984
KBOS,2021-06-01 00:00:00 UTC,2021-06-01 13:00:00 UTC,13.0,15.159999847412108,11.56999969482422,0.21,2.89,1023.8499755859376,1023.530029296875,100.0
KBOS,2021-06-01 00:00:00 UTC,2021-06-01 15:00:00 UTC,15.0,17.530000686645508,11.970000267028807,0.64,3.03,1024.219970703125,1023.8499755859376,100.0
KBOS,2021-06-04 00:00:00 UTC,2021-06-05 06:00:00 UTC,30.0,14.970000267028807,14.729999542236328,1.8,1.44,1011.0499877929688,1010.6300048828124,8.460000038146973
KBOS,2021-06-04 00:00:00 UTC,2021-06-05 08:00:00 UTC,32.0,14.619999885559082,14.3100004196167,3.56,1.7,1011.6099853515624,1011.3699951171876,4.0
KBOS,2021-06-07 00:00:00 UTC,2021-06-07 09:00:00 UTC,9.0,20.26000022888184,17.090000152587894,1.78,2.54,1017.75,1017.3800048828124,0.0
KBOS,2021-06-07 00:00:00 UTC,2021-06-08 03:00:00 UTC,27.0,22.540000915527344,19.309999465942386,3.36,1.9,1016.989990234375,1016.6300048828124,93.0
KBOS,2021-06-07 00:00:00 UTC,2021-06-07 13:00:00 UTC,13.0,25.920000076293945,18.319999694824215,3.04,3.53,1018.239990234375,1017.8200073242188,0.0
KBOS,2021-06-27 00:00:00 UTC,2021-06-28 16:00:00 UTC,40.0,30.20000076293945,19.489999771118164,3.78,3.91,1021.1500244140624,1020.719970703125,100.0
KBOS,2021-06-19 00:00:00 UTC,2021-06-19 18:00:00 UTC,18.0,27.57999992370605,16.360000610351562,-0.06,4.91,1005.5399780273438,1005.0,11.989999771118164
KBOS,2021-06-19 00:00:00 UTC,2021-06-19 12:00:00 UTC,12.0,19.600000381469727,15.270000457763672,3.99,2.42,1007.969970703125,1007.6500244140624,100.0
KBOS,2021-06-14 00:00:00 UTC,2021-06-14 03:00:00 UTC,3.0,17.559999465942386,12.520000457763672,3.39,2.02,1012.530029296875,1012.1300048828124,0.7799999713897706
KBOS,2021-06-14 00:00:00 UTC,2021-06-15 15:00:00 UTC,39.0,17.049999237060547,16.739999771118164,1.35,-2.38,1008.3599853515624,1008.0700073242188,100.0
KBOS,2021-06-17 00:00:00 UTC,2021-06-17 17:00:00 UTC,17.0,21.86000061035156,3.6099998950958248,-0.69,3.29,1014.1400146484376,1013.6199951171876,0.0
KBOS,2021-06-17 00:00:00 UTC,2021-06-17 16:00:00 UTC,16.0,21.090000152587887,4.019999980926514,-0.12,2.39,1014.1300048828124,1013.6199951171876,0.0
KBOS,2021-06-17 00:00:00 UTC,2021-06-18 08:00:00 UTC,32.0,14.550000190734865,9.770000457763674,1.08,2.94,1016.3800048828124,1016.030029296875,0.0
KBOS,2021-06-17 00:00:00 UTC,2021-06-17 15:00:00 UTC,15.0,20.36000061035156,4.119999885559082,-0.32,1.93,1014.0499877929688,1013.5499877929688,0.0
KBOS,2021-06-25 00:00:00 UTC,2021-06-26 15:00:00 UTC,39.0,23.09000015258789,19.170000076293945,5.22,1.92,1025.719970703125,1025.3299560546877,100.0
KBOS,2021-06-25 00:00:00 UTC,2021-06-26 20:00:00 UTC,44.0,25.420000076293945,18.850000381469727,6.44,2.86,1023.72998046875,1023.280029296875,100.0
KBOS,2021-06-12 00:00:00 UTC,2021-06-13 07:00:00 UTC,31.0,14.890000343322756,12.949999809265135,2.32,3.12,1010.8900146484376,1010.5800170898438,100.0
KBOS,2021-06-12 00:00:00 UTC,2021-06-13 18:00:00 UTC,42.0,21.43000030517578,13.600000381469727,1.8,-4.14,1010.4299926757812,1010.0,8.369999885559082
KBOS,2021-06-12 00:00:00 UTC,2021-06-13 06:00:00 UTC,30.0,15.1899995803833,13.420000076293945,2.22,2.61,1010.77001953125,1010.4299926757812,100.0
KBOS,2021-06-12 00:00:00 UTC,2021-06-12 07:00:00 UTC,7.0,14.9399995803833,12.600000381469727,0.98,0.53,1013.1900024414062,1012.9299926757812,100.0
KBOS,2021-06-12 00:00:00 UTC,2021-06-13 05:00:00 UTC,29.0,15.260000228881836,13.770000457763672,2.49,2.55,1011.0900268554688,1010.780029296875,100.0
KBOS,2021-06-21 00:00:00 UTC,2021-06-22 00:00:00 UTC,24.0,22.100000381469727,20.090000152587887,6.46,1.83,1004.3699951171876,1003.9500122070312,25.540000915527344
KBOS,2021-06-21 00:00:00 UTC,2021-06-22 19:00:00 UTC,43.0,19.93000030517578,11.850000381469727,-2.18,4.9,1007.760009765625,1007.3499755859376,100.0
KBOS,2021-06-21 00:00:00 UTC,2021-06-21 22:00:00 UTC,22.0,23.68000030517578,20.049999237060547,7.16,2.77,1004.010009765625,1003.6300048828124,100.0
KBOS,2021-07-01 00:00:00 UTC,2021-07-01 13:00:00 UTC,13.0,22.559999465942386,19.6299991607666,0.05,3.39,1010.969970703125,1010.5499877929688,100.0
KBOS,2021-06-16 00:00:00 UTC,2021-06-16 13:00:00 UTC,13.0,17.579999923706055,12.710000038146973,-3.33,1.45,1008.1900024414062,1007.8800048828124,0.4900000095367432
KBOS,2021-06-16 00:00:00 UTC,2021-06-17 09:00:00 UTC,33.0,13.220000267028807,8.720000267028809,-1.8,2.13,1013.0700073242188,1012.6699829101562,0.0
KBOS,2021-06-09 00:00:00 UTC,2021-06-09 02:00:00 UTC,2.0,23.149999618530273,19.8799991607666,0.44,2.06,1014.27001953125,1013.9000244140624,100.0
KBOS,2021-06-18 00:00:00 UTC,2021-06-18 06:00:00 UTC,6.0,16.129999160766598,9.140000343322754,1.07,2.36,1015.4400024414062,1015.0800170898438,0.0
KBOS,2021-06-18 00:00:00 UTC,2021-06-18 11:00:00 UTC,11.0,16.5,9.9399995803833,0.69,2.71,1016.4099731445312,1016.0700073242188,0.0
KBOS,2021-06-18 00:00:00 UTC,2021-06-18 16:00:00 UTC,16.0,23.90999984741211,2.809999942779541,2.9,2.89,1015.219970703125,1014.75,11.899999618530273
KBOS,2021-06-18 00:00:00 UTC,2021-06-19 03:00:00 UTC,27.0,18.959999084472656,10.93000030517578,4.77,1.94,1013.2100219726562,1012.8499755859376,100.0
KBOS,2021-06-28 00:00:00 UTC,2021-06-29 20:00:00 UTC,44.0,33.439998626708984,17.430000305175778,-1.51,4.42,1017.5,1016.9500122070312,42.650001525878906
KBOS,2021-06-28 00:00:00 UTC,2021-06-29 08:00:00 UTC,32.0,23.68000030517578,19.899999618530273,1.08,3.56,1019.9400024414062,1019.530029296875,21.059999465942386
KBOS,2021-06-24 00:00:00 UTC,2021-06-24 05:00:00 UTC,5.0,15.649999618530273,13.609999656677244,3.5,0.2,1026.530029296875,1026.199951171875,2.289999961853028
KBOS,2021-06-22 00:00:00 UTC,2021-06-22 08:00:00 UTC,8.0,19.979999542236328,19.6299991607666,2.82,2.07,1003.1300048828124,1002.8499755859376,98.4800033569336
KBOS,2021-06-22 00:00:00 UTC,2021-06-23 11:00:00 UTC,35.0,13.93000030517578,7.579999923706055,-3.17,3.03,1019.6099853515624,1019.3800048828124,0.0
KBOS,2021-06-22 00:00:00 UTC,2021-06-22 18:00:00 UTC,18.0,22.3700008392334,17.520000457763672,-0.19,0.04,1004.47998046875,1004.0800170898438,100.0
KBOS,2021-06-22 00:00:00 UTC,2021-06-23 07:00:00 UTC,31.0,14.75,8.720000267028809,-4.69,3.33,1015.3200073242188,1014.9400024414062,100.0
KBOS,2021-06-08 00:00:00 UTC,2021-06-08 17:00:00 UTC,17.0,29.61000061035156,18.420000076293945,0.31,3.52,1015.6799926757812,1015.1500244140624,100.0
KBOS,2021-06-08 00:00:00 UTC,2021-06-09 04:00:00 UTC,28.0,18.32999992370605,18.209999084472656,2.62,0.44,1016.719970703125,1016.3499755859376,100.0
KBOS,2021-06-08 00:00:00 UTC,2021-06-09 16:00:00 UTC,40.0,22.229999542236328,20.340000152587887,0.53,-0.22,1015.8099975585938,1015.3800048828124,100.0
KBOS,2021-06-05 00:00:00 UTC,2021-06-06 08:00:00 UTC,32.0,19.6200008392334,16.180000305175778,0.75,3.84,1012.2899780273438,1011.9299926757812,18.61000061035156
