pt,model_run,fcst_time,fcst_dt,sfc_air_temperature,sfc_dewpoint,v_wind_10m,u_wind_10m,sfc_pressure,sea_level_pressure,cloud_cover
KHLC,2021-06-11 00:00:00 UTC,2021-06-12 09:00:00 UTC,33.0,15.880000114440918,14.970000267028807,-1.09,-1.81,1014.8099975585938,939.1500244140624,0.10999999940395357
KHLC,2021-06-11 00:00:00 UTC,2021-06-11 04:00:00 UTC,4.0,27.6299991607666,20.96999931335449,4.57,-2.57,1002.3099975585938,928.8300170898434,1.8799999952316284
KHLC,2021-06-22 00:00:00 UTC,2021-06-23 17:00:00 UTC,41.0,31.90999984741211,16.299999237060547,2.51,-2.52,1003.2000122070312,929.3400268554688,4.25
KHLC,2021-06-02 00:00:00 UTC,2021-06-03 11:00:00 UTC,35.0,13.029999732971193,11.770000457763672,0.56,1.75,1013.7000122070312,935.6599731445312,99.08000183105469
KHLC,2021-06-24 00:00:00 UTC,2021-06-25 17:00:00 UTC,41.0,28.29999923706055,17.579999923706055,-1.18,-0.87,1009.469970703125,933.25,25.0
KHLC,2021-06-24 00:00:00 UTC,2021-06-25 19:00:00 UTC,43.0,30.290000915527344,16.899999618530273,-0.21,-1.52,1008.6799926757812,932.239990234375,13.800000190734865
KHLC,2021-06-24 00:00:00 UTC,2021-06-24 08:00:00 UTC,8.0,26.21999931335449,18.489999771118164,1.95,-0.87,999.6099853515624,926.510009765625,99.87000274658205
KHLC,2021-06-12 00:00:00 UTC,2021-06-13 16:00:00 UTC,40.0,28.13999938964844,17.799999237060547,4.28,-2.26,1015.3200073242188,939.239990234375,37.560001373291016
KHLC,2021-06-06 00:00:00 UTC,2021-06-06 21:00:00 UTC,21.0,31.10000038146973,16.110000610351562,6.27,0.12,1002.0700073242188,926.9400024414062,10.890000343322754
KHLC,2021-06-06 00:00:00 UTC,2021-06-07 16:00:00 UTC,40.0,25.790000915527344,19.549999237060547,6.34,0.24,1005.9099731445312,930.75,40.33000183105469
KHLC,2021-06-06 00:00:00 UTC,2021-06-07 21:00:00 UTC,45.0,31.68000030517578,16.579999923706055,5.13,-2.72,1004.0700073242188,928.8400268554688,8.670000076293945
KHLC,2021-06-01 00:00:00 UTC,2021-06-01 03:00:00 UTC,3.0,13.600000381469727,12.600000381469727,-0.5,-1.12,1022.52001953125,943.3499755859376,2.0899999141693115
KHLC,2021-06-01 00:00:00 UTC,2021-06-01 15:00:00 UTC,15.0,16.030000686645508,12.239999771118164,-0.05,-0.15,1021.3400268554688,942.260009765625,33.47999954223633
KHLC,2021-06-03 00:00:00 UTC,2021-06-03 14:00:00 UTC,14.0,18.940000534057614,13.850000381469727,0.81,2.41,1013.5900268554688,935.5499877929688,44.61999893188477
KHLC,2021-06-15 00:00:00 UTC,2021-06-15 12:00:00 UTC,12.0,22.569999694824215,18.13999938964844,-0.02,1.38,1014.1599731445312,938.5399780273436,92.70999908447264
KHLC,2021-06-15 00:00:00 UTC,2021-06-16 13:00:00 UTC,37.0,26.03000068664551,14.4399995803833,2.42,2.68,1011.7100219726562,936.5399780273436,6.9099998474121085
KHLC,2021-06-09 00:00:00 UTC,2021-06-09 22:00:00 UTC,22.0,31.729999542236328,18.840000152587887,3.73,-3.51,1010.9000244140624,935.3400268554688,89.69000244140625
KHLC,2021-06-09 00:00:00 UTC,2021-06-09 21:00:00 UTC,21.0,31.739999771118164,18.57999992370605,5.16,-2.37,1011.1099853515624,935.4500122070312,99.91000366210936
KHLC,2021-06-18 00:00:00 UTC,2021-06-19 05:00:00 UTC,29.0,26.920000076293945,18.549999237060547,-1.41,-1.4,1006.0599975585938,931.4299926757811,6.690000057220459
KHLC,2021-06-18 00:00:00 UTC,2021-06-19 22:00:00 UTC,46.0,34.470001220703125,17.190000534057614,0.71,-6.89,1003.3599853515624,928.9299926757811,67.40000152587889
KHLC,2021-06-08 00:00:00 UTC,2021-06-09 10:00:00 UTC,34.0,21.520000457763672,18.86000061035156,0.73,-1.75,1008.9299926757812,934.0399780273436,95.88999938964844
KHLC,2021-06-16 00:00:00 UTC,2021-06-17 14:00:00 UTC,38.0,30.059999465942386,11.449999809265135,2.45,3.77,1008.1900024414062,933.8400268554688,24.51000022888184
KHLC,2021-06-07 00:00:00 UTC,2021-06-07 20:00:00 UTC,20.0,31.93000030517578,16.719999313354492,4.03,-1.74,1005.1599731445312,929.1400146484376,13.100000381469727
KHLC,2021-06-07 00:00:00 UTC,2021-06-07 21:00:00 UTC,21.0,32.56999969482421,15.529999732971193,3.37,-2.31,1004.9500122070312,929.030029296875,3.509999990463257
KHLC,2021-06-10 00:00:00 UTC,2021-06-10 18:00:00 UTC,18.0,32.799999237060554,22.84000015258789,6.18,-1.18,1008.0900268554688,932.9400024414062,19.100000381469727
KHLC,2021-06-10 00:00:00 UTC,2021-06-11 03:00:00 UTC,27.0,29.0,19.8799991607666,3.41,-2.85,1003.3300170898438,929.4400024414062,65.13999938964844
KHLC,2021-06-25 00:00:00 UTC,2021-06-26 14:00:00 UTC,38.0,20.709999084472656,16.0,-4.79,2.93,1010.3200073242188,933.1599731445312,67.58999633789064
KHLC,2021-06-25 00:00:00 UTC,2021-06-26 11:00:00 UTC,35.0,18.489999771118164,16.209999084472653,-2.3,2.49,1009.0399780273438,932.25,58.70000076293945
KHLC,2021-06-17 00:00:00 UTC,2021-06-18 16:00:00 UTC,40.0,32.90999984741211,9.75,-1.71,-1.14,1004.510009765625,930.6400146484376,20.1299991607666
KHLC,2021-06-19 00:00:00 UTC,2021-06-20 06:00:00 UTC,30.0,21.700000762939453,16.459999084472653,-0.52,-1.66,1001.0499877929688,925.9400024414062,99.01000213623048
KHLC,2021-06-13 00:00:00 UTC,2021-06-14 00:00:00 UTC,24.0,33.419998168945305,16.270000457763672,3.07,-5.12,1011.0399780273438,936.030029296875,5.0
KHLC,2021-06-02 00:00:00 UTC,2021-06-02 15:00:00 UTC,15.0,17.899999618530273,12.4399995803833,0.89,0.69,1015.6199951171876,936.9600219726561,6.4099998474121085
KHLC,2021-06-02 00:00:00 UTC,2021-06-03 20:00:00 UTC,44.0,29.26000022888184,7.320000171661378,0.6,1.09,1012.739990234375,934.9500122070312,13.670000076293945
KHLC,2021-06-12 00:00:00 UTC,2021-06-14 00:00:00 UTC,48.0,33.189998626708984,16.909999847412106,5.68,-3.18,1011.469970703125,935.9400024414062,0.23000000417232516
KHLC,2021-06-12 00:00:00 UTC,2021-06-13 11:00:00 UTC,35.0,19.549999237060547,11.880000114440918,0.06,-2.39,1014.8599853515624,939.1500244140624,99.68000030517578
KHLC,2021-06-06 00:00:00 UTC,2021-06-07 23:00:00 UTC,47.0,31.36000061035156,16.200000762939453,4.91,-2.76,1003.52001953125,928.4400024414062,3.009999990463257
KHLC,2021-06-01 00:00:00 UTC,2021-06-02 02:00:00 UTC,26.0,15.789999961853027,13.979999542236328,2.2,-1.79,1018.4600219726562,939.6500244140624,99.2699966430664
KHLC,2021-06-14 00:00:00 UTC,2021-06-15 21:00:00 UTC,45.0,38.02999877929688,11.31999969482422,3.09,-3.72,1012.4400024414062,937.0399780273436,98.66000366210936
KHLC,2021-06-03 00:00:00 UTC,2021-06-04 21:00:00 UTC,45.0,31.8700008392334,9.079999923706055,5.97,-1.56,1009.4600219726562,932.75,1.1599999666213987
KHLC,2021-06-03 00:00:00 UTC,2021-06-04 07:00:00 UTC,31.0,17.920000076293945,12.140000343322756,3.0,2.35,1011.75,934.8499755859376,35.970001220703125
KHLC,2021-06-29 00:00:00 UTC,2021-06-29 02:00:00 UTC,2.0,23.35000038146973,16.790000915527347,2.29,-1.46,1017.0900268554688,939.4500122070312,62.18999862670898
KHLC,2021-06-09 00:00:00 UTC,2021-06-09 15:00:00 UTC,15.0,24.18000030517578,20.590000152587887,3.47,-4.56,1011.719970703125,936.4500122070312,54.7599983215332
KHLC,2021-06-09 00:00:00 UTC,2021-06-10 07:00:00 UTC,31.0,24.569999694824215,19.809999465942386,1.69,-3.05,1010.1099853515624,935.1400146484376,51.09000015258789
